Replicate Name,Peptide Note,Total Area MS1,Peptide Retention Time
IM05r2,2-3_H3_9_17_K9K14_m1p,400822592,42.4
IM05r3,2-3_H3_9_17_K9K14_m1p,406118144,42.48
EJ06r1,2-3_H3_9_17_K9K14_m1p,356696192,42.43
EJ06r2,2-3_H3_9_17_K9K14_m1p,362464512,42.38
EJ06r3,2-3_H3_9_17_K9K14_m1p,362810368,42.2
EJ07r1,2-3_H3_9_17_K9K14_m1p,983665792,42.19
EJ07r2,2-3_H3_9_17_K9K14_m1p,945558528,42.27
EJ07r3,2-3_H3_9_17_K9K14_m1p,971905216,42.17
EJ08r1,2-3_H3_9_17_K9K14_m1p,1718430336,42.01
EJ08r2,2-3_H3_9_17_K9K14_m1p,1594151552,42.03
EJ08r3,2-3_H3_9_17_K9K14_m1p,1660382976,42.12
EJ09r1,2-3_H3_9_17_K9K14_m1p,957927296,42.28
EJ09r2,2-3_H3_9_17_K9K14_m1p,1018891584,42.28
EJ09r3,2-3_H3_9_17_K9K14_m1p,1025826688,42.38
EJ10r1,2-3_H3_9_17_K9K14_m1p,888356224,42.55
EJ10r2,2-3_H3_9_17_K9K14_m1p,887246016,42.75
EJ10r3,2-3_H3_9_17_K9K14_m1p,915979008,42.61
blank_00,2-4_H3_9_17_K9K14_m2p,0,31
blank_01,2-4_H3_9_17_K9K14_m2p,0,31
QC_pre01,2-4_H3_9_17_K9K14_m2p,291052064,33.21
QC_pre02,2-4_H3_9_17_K9K14_m2p,312889216,32.7
QC_pre03,2-4_H3_9_17_K9K14_m2p,#N/A,#N/A
QC_00,2-4_H3_9_17_K9K14_m2p,#N/A,#N/A
QC_01,2-4_H3_9_17_K9K14_m2p,270741952,31.72
QC_02,2-4_H3_9_17_K9K14_m2p,0,31
QC_03,2-4_H3_9_17_K9K14_m2p,199455120,31
QC_05,2-4_H3_9_17_K9K14_m2p,194807872,29.92
QC_04,2-4_H3_9_17_K9K14_m2p,187508272,30.34
IM01r1,2-4_H3_9_17_K9K14_m2p,27384976,30.96
IM01r2,2-4_H3_9_17_K9K14_m2p,28890904,31.33
IM01r3,2-4_H3_9_17_K9K14_m2p,24155316,29.15
IM02r1,2-4_H3_9_17_K9K14_m2p,186258416,30.93
IM02r2,2-4_H3_9_17_K9K14_m2p,170947568,30.36
IM02r3,2-4_H3_9_17_K9K14_m2p,170520624,28.35
IM03r1,2-4_H3_9_17_K9K14_m2p,83228344,31.76
IM03r2,2-4_H3_9_17_K9K14_m2p,67220176,31
IM03r3,2-4_H3_9_17_K9K14_m2p,83680872,31.62
IM04r1,2-4_H3_9_17_K9K14_m2p,240985552,32.79
IM04r2,2-4_H3_9_17_K9K14_m2p,186024240,32.12
IM04r3,2-4_H3_9_17_K9K14_m2p,156477920,31.29
IM05r1,2-4_H3_9_17_K9K14_m2p,129400440,30.52
IM05r2,2-4_H3_9_17_K9K14_m2p,144746176,31.32
IM05r3,2-4_H3_9_17_K9K14_m2p,151818736,31.5
EJ06r1,2-4_H3_9_17_K9K14_m2p,148121472,31.59
EJ06r2,2-4_H3_9_17_K9K14_m2p,151141824,31.14
EJ06r3,2-4_H3_9_17_K9K14_m2p,127686536,30.42
EJ07r1,2-4_H3_9_17_K9K14_m2p,287881824,29.68
EJ07r2,2-4_H3_9_17_K9K14_m2p,234876480,29.41
EJ07r3,2-4_H3_9_17_K9K14_m2p,263975600,29.95
EJ08r1,2-4_H3_9_17_K9K14_m2p,451531136,29.17
EJ08r2,2-4_H3_9_17_K9K14_m2p,428488544,27.97
EJ08r3,2-4_H3_9_17_K9K14_m2p,458493344,29.82
EJ09r1,2-4_H3_9_17_K9K14_m2p,351882848,30.81
EJ09r2,2-4_H3_9_17_K9K14_m2p,293881056,30.48
EJ09r3,2-4_H3_9_17_K9K14_m2p,387509248,31.17
EJ10r1,2-4_H3_9_17_K9K14_m2p,465842432,31.73
EJ10r2,2-4_H3_9_17_K9K14_m2p,675938112,32.76
EJ10r3,2-4_H3_9_17_K9K14_m2p,585056448,32.28
blank_00,2-5_H3_9_17_K9K14_m3p,0,30
blank_01,2-5_H3_9_17_K9K14_m3p,0,30
QC_pre01,2-5_H3_9_17_K9K14_m3p,#N/A,#N/A
QC_pre02,2-5_H3_9_17_K9K14_m3p,#N/A,#N/A
QC_pre03,2-5_H3_9_17_K9K14_m3p,#N/A,#N/A
QC_00,2-5_H3_9_17_K9K14_m3p,#N/A,#N/A
QC_01,2-5_H3_9_17_K9K14_m3p,128033032,31.41
QC_02,2-5_H3_9_17_K9K14_m3p,38327,30.37
QC_03,2-5_H3_9_17_K9K14_m3p,110767488,30.65
QC_05,2-5_H3_9_17_K9K14_m3p,109143528,29.59
QC_04,2-5_H3_9_17_K9K14_m3p,114551440,30.02
IM01r1,2-5_H3_9_17_K9K14_m3p,15376917,30.65
IM01r2,2-5_H3_9_17_K9K14_m3p,15201884,30.98
IM01r3,2-5_H3_9_17_K9K14_m3p,16034909,28.77
IM02r1,2-5_H3_9_17_K9K14_m3p,115395544,30.61
IM02r2,2-5_H3_9_17_K9K14_m3p,108420992,30.01
IM02r3,2-5_H3_9_17_K9K14_m3p,109952520,27.97
IM03r1,2-5_H3_9_17_K9K14_m3p,51667248,31.47
IM03r2,2-5_H3_9_17_K9K14_m3p,40539524,30.68
IM03r3,2-5_H3_9_17_K9K14_m3p,43335524,31.36
IM04r1,2-5_H3_9_17_K9K14_m3p,124133240,32.56
IM04r2,2-5_H3_9_17_K9K14_m3p,104848544,31.89
IM04r3,2-5_H3_9_17_K9K14_m3p,87430840,30.98
IM05r1,2-5_H3_9_17_K9K14_m3p,73869760,30.11
IM05r2,2-5_H3_9_17_K9K14_m3p,74683448,31.01
IM05r3,2-5_H3_9_17_K9K14_m3p,77901848,31.17
EJ06r1,2-5_H3_9_17_K9K14_m3p,77797672,31.26
EJ06r2,2-5_H3_9_17_K9K14_m3p,69929464,30.77
EJ06r3,2-5_H3_9_17_K9K14_m3p,68876464,29.99
EJ07r1,2-5_H3_9_17_K9K14_m3p,170663504,29.32
EJ07r2,2-5_H3_9_17_K9K14_m3p,151258320,29.02
EJ07r3,2-5_H3_9_17_K9K14_m3p,175285408,29.54
EJ08r1,2-5_H3_9_17_K9K14_m3p,278279424,28.86
EJ08r2,2-5_H3_9_17_K9K14_m3p,267466544,27.63
EJ08r3,2-5_H3_9_17_K9K14_m3p,272961632,29.44
EJ09r1,2-5_H3_9_17_K9K14_m3p,167391632,30.42
EJ09r2,2-5_H3_9_17_K9K14_m3p,154616896,30
EJ09r3,2-5_H3_9_17_K9K14_m3p,166806144,30.79
EJ10r1,2-5_H3_9_17_K9K14_m3p,261261040,31.49
EJ10r2,2-5_H3_9_17_K9K14_m3p,362039744,32.55
EJ10r3,2-5_H3_9_17_K9K14_m3p,269141248,32.05
blank_00,2-6_H3_9_17_K9K14_acp/pac,0,37.7
blank_01,2-6_H3_9_17_K9K14_acp/pac,0,37.69
QC_pre01,2-6_H3_9_17_K9K14_acp/pac,1688258816,38.14
QC_pre02,2-6_H3_9_17_K9K14_acp/pac,1537485440,38
QC_pre03,2-6_H3_9_17_K9K14_acp/pac,1282067072,37.49
QC_00,2-6_H3_9_17_K9K14_acp/pac,452656928,36.5
QC_01,2-6_H3_9_17_K9K14_acp/pac,1532602752,37.88
QC_02,2-6_H3_9_17_K9K14_acp/pac,1423914624,37.44
QC_03,2-6_H3_9_17_K9K14_acp/pac,1601630976,37.62
QC_05,2-6_H3_9_17_K9K14_acp/pac,1619877376,37.39
QC_04,2-6_H3_9_17_K9K14_acp/pac,1544578560,37.51
IM01r1,2-6_H3_9_17_K9K14_acp/pac,166833568,37.64
IM01r2,2-6_H3_9_17_K9K14_acp/pac,166684272,37.66
IM01r3,2-6_H3_9_17_K9K14_acp/pac,183661328,37.25
IM02r1,2-6_H3_9_17_K9K14_acp/pac,1159090560,37.54
IM02r2,2-6_H3_9_17_K9K14_acp/pac,1176748160,37.55
IM02r3,2-6_H3_9_17_K9K14_acp/pac,1219646080,37.15
IM03r1,2-6_H3_9_17_K9K14_acp/pac,549703360,37.8
IM03r2,2-6_H3_9_17_K9K14_acp/pac,531685024,37.53
IM03r3,2-6_H3_9_17_K9K14_acp/pac,531965696,37.82
IM04r1,2-6_H3_9_17_K9K14_acp/pac,1307842304,38.08
IM04r2,2-6_H3_9_17_K9K14_acp/pac,1133443840,37.87
IM04r3,2-6_H3_9_17_K9K14_acp/pac,1139061376,37.55
IM05r1,2-6_H3_9_17_K9K14_acp/pac,1453279232,37.45
IM05r2,2-6_H3_9_17_K9K14_acp/pac,1407182208,37.67
IM05r3,2-6_H3_9_17_K9K14_acp/pac,1367963904,37.71
EJ06r1,2-6_H3_9_17_K9K14_acp/pac,890360064,37.72
EJ06r2,2-6_H3_9_17_K9K14_acp/pac,927039808,37.63
EJ06r3,2-6_H3_9_17_K9K14_acp/pac,972915520,37.44
EJ07r1,2-6_H3_9_17_K9K14_acp/pac,2371263488,37.42
EJ07r2,2-6_H3_9_17_K9K14_acp/pac,2163036672,37.45
EJ07r3,2-6_H3_9_17_K9K14_acp/pac,2400754944,37.51
EJ08r1,2-6_H3_9_17_K9K14_acp/pac,3199688960,37.23
EJ08r2,2-6_H3_9_17_K9K14_acp/pac,3380503040,37.24
EJ08r3,2-6_H3_9_17_K9K14_acp/pac,3352545024,37.38
EJ09r1,2-6_H3_9_17_K9K14_acp/pac,2681133568,37.53
EJ09r2,2-6_H3_9_17_K9K14_acp/pac,2656923392,37.59
EJ09r3,2-6_H3_9_17_K9K14_acp/pac,2694490880,37.6
EJ10r1,2-6_H3_9_17_K9K14_acp/pac,3035961088,37.85
EJ10r2,2-6_H3_9_17_K9K14_acp/pac,2890553088,38.08
EJ10r3,2-6_H3_9_17_K9K14_acp/pac,3037713152,37.95
